subject,session,run,electrode,condition,X,Y,Z,X_ref,Y_ref,Z_ref,stim,dX,dY,dZ,deviation_mm,exp,project,network,star_min_angle,star_radius_cv,spoke_min_mm,spoke_max_mm,star_hub_agrees,note,baseline_residual_mm,baseline_condition_used
sub-1115,ses-4,run-01,anode,control,-58.04907434,-53.76274817,65.30321876,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-8.865323109920595,-7.247150978714437,-10.47213787616198,15.517113869818708,P1,P1,a_baseline,106.83,0.034,56.69,61.1,True,different_montage?+high_residual,53.55,control
sub-1115,ses-4,run-01,cathode1,control,-53.0561356,0.8697918,70.94073988,-44.18914690610488,7.9752710600561665,76.45900900466773,active,-8.866988693895117,-7.105479260056167,-5.518269124667739,12.631809773148637,P1,P1,a_baseline,106.83,0.034,56.69,61.1,True,different_montage?+high_residual,53.55,control
sub-1115,ses-4,run-01,cathode2,control,-70.01475558,-71.31702191,18.31246639,-72.38837427648195,-65.19392501973634,31.37096372927896,active,2.3736186964819552,-6.123096890263653,-13.058497339278958,14.616796297540743,P1,P1,a_baseline,106.83,0.034,56.69,61.1,True,different_montage?+high_residual,53.55,control
sub-1115,ses-4,run-01,cathode3,control,-17.94052658,-80.98702243,81.44862358,-3.4345209803029757,-72.70283429555828,87.0277601984364,active,-14.506005599697025,-8.28418813444172,-5.579136618436394,17.6118919174643,P1,P1,a_baseline,106.83,0.034,56.69,61.1,True,different_montage?+high_residual,53.55,control
sub-1115,ses-4,run-02,anode,control,-58.02385949,-54.8773733,65.88866374,-49.1837512300794,-46.515597191285565,75.77535663616197,active,-8.840108259920598,-8.361776108714437,-9.886692896161975,15.678440935322733,P1,P1,a_baseline,106.38,0.0348,56.25,61.12,True,different_montage?+high_residual,53.95,control
sub-1115,ses-4,run-02,cathode1,control,-53.09756754,-0.21304872,71.52480982,-44.18914690610488,7.9752710600561665,76.45900900466773,active,-8.908420633895119,-8.188319780056167,-4.934199184667733,13.067320329923925,P1,P1,a_baseline,106.38,0.0348,56.25,61.12,True,different_montage?+high_residual,53.95,control
sub-1115,ses-4,run-02,cathode2,control,-70.2613152,-72.670052,18.40397225,-72.38837427648195,-65.19392501973634,31.37096372927896,active,2.127059076481956,-7.476126980263658,-12.96699147927896,15.118191788820633,P1,P1,a_baseline,106.38,0.0348,56.25,61.12,True,different_montage?+high_residual,53.95,control
sub-1115,ses-4,run-02,cathode3,control,-18.40790446,-82.32225869,81.62822115,-3.4345209803029757,-72.70283429555828,87.0277601984364,active,-14.973383479697025,-9.619424394441722,-5.399539048436395,18.598133251647425,P1,P1,a_baseline,106.38,0.0348,56.25,61.12,True,different_montage?+high_residual,53.95,control
sub-1116,ses-1,run-01,anode,control,-42.56564218,-3.06651157,69.32877953,-48.75531745201044,-33.56227559026083,69.60459129494461,active,6.18967527201044,30.495764020260832,-0.27581176494460635,31.118800993644573,P1,P1,a_baseline,105.09,0.0205,55.45,58.05,True,different_montage?+high_residual,60.9,control
sub-1116,ses-1,run-01,cathode1,control,-27.33736734,45.49844755,56.90406576,-34.631637697273035,19.31324208454494,65.42684712897878,active,7.294270357273035,26.185205465455063,-8.522781368978777,28.486999975014946,P1,P1,a_baseline,105.09,0.0205,55.45,58.05,True,different_montage?+high_residual,60.9,control
