subject,session,run,electrode,condition,X,Y,Z,X_ref,Y_ref,Z_ref,stim,dX,dY,dZ,deviation_mm,exp,project,network,star_min_angle,star_radius_cv,spoke_min_mm,spoke_max_mm,star_hub_agrees,note,baseline_residual_mm,baseline_condition_used
sub-1165,ses-4,run-01,anode,control,-55.46416321,-10.72481814,56.5478481,-45.86061391126603,-29.500952862766468,65.63155807552194,active,-9.603549298733974,18.776134722766468,-9.083709975521934,22.962691070083384,P1,P1,a_baseline,101.21,0.0584,55.18,63.67,True,different_montage?+high_residual,58.94,control
sub-1165,ses-4,run-02,anode,control,-54.31742422,-10.43907574,53.99269336,-45.86061391126603,-29.500952862766468,65.63155807552194,active,-8.45681030873397,19.061877122766468,-11.63886471552194,23.881707893439664,P1,P1,a_baseline,100.22,0.0674,55.28,63.96,True,rigid_offset?+high_residual,72.6,control
sub-1166,ses-1,run-01,anode,target,62.6320819,-68.81240324,-27.33819245,66.30482007655543,-61.719301801890005,-18.451436828636,active,-3.672738176555427,-7.09310143810999,-8.886755621364,11.948871042851302,P1,P1,a_baseline,115.9,0.052,45.62,51.78,True,rigid_offset?+high_residual,42.68,target
sub-1166,ses-1,run-02,anode,target,63.25811928,-69.58657586,-27.6900221,66.30482007655543,-61.719301801890005,-18.451436828636,active,-3.0467007965554274,-7.867274058109992,-9.238585271363998,12.511108850353981,P1,P1,a_baseline,115.27,0.0614,45.56,52.89,True,rigid_offset?+high_residual,42.77,target
sub-1166,ses-2,run-01,anode,target,65.23651022,-63.43188073,-30.30194439,66.30482007655543,-61.719301801890005,-18.451436828636,active,-1.0683098565554303,-1.7125789281099983,-11.850507561363997,12.02117889379262,P1,P1,a_baseline,112.62,0.036,40.22,43.86,True,rigid_offset?+high_residual,40.62,target
sub-1166,ses-2,run-02,anode,target,65.71072964,-64.6643298,-30.39686818,66.30482007655543,-61.719301801890005,-18.451436828636,active,-0.5940904365554331,-2.9450279981099996,-11.945431351363997,12.317445495175058,P1,P1,a_baseline,113.06,0.0348,40.29,43.81,True,rigid_offset?+high_residual,40.98,target
sub-1166,ses-3,run-01,anode,target,64.47513725,-62.4197962,-29.95954669,66.30482007655543,-61.719301801890005,-18.451436828636,active,-1.8296828265554268,-0.7004943981099956,-11.508109861363998,11.673689400904866,P1,P1,a_baseline,113.87,0.0351,40.86,44.39,True,,,target
sub-1166,ses-3,run-02,anode,target,64.97283535,-63.33177866,-29.97808341,66.30482007655543,-61.719301801890005,-18.451436828636,active,-1.331984726555433,-1.6124768581099929,-11.526646581363998,11.714855796866965,P1,P1,a_baseline,113.92,0.0232,41.74,44.16,True,,,target
sub-1166,ses-4,run-01,anode,target,64.02401992,-63.68311461,-31.56468066,66.30482007655543,-61.719301801890005,-18.451436828636,active,-2.2808001565554292,-1.9638128081099921,-13.113243831363999,13.45421026594449,P1,P1,a_baseline,116.0,0.0272,41.83,44.7,True,,,target
sub-1166,ses-4,run-02,anode,target,64.76327803,-64.37755526,-31.23679666,66.30482007655543,-61.719301801890005,-18.451436828636,active,-1.5415420465554348,-2.6582534581099893,-12.785359831363998,13.149452054983435,P1,P1,a_baseline,117.09,0.0378,40.88,44.66,True,,,target
