=== Extract Coordinates Log  2026-04-07 09:34:20 ===

[09:34:20] INFO  Script started
[09:34:20] INFO  Base path  : /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[09:34:20] INFO  Output CSV : /media/Data03/Projects/Automated_Electrode_Extraction/code/03_Extract_Coordinates/Tables/electrode_positions_MeMoSLAP_20260407.csv
[09:34:20] INFO  Log file   : /media/Data03/Projects/Automated_Electrode_Extraction/code/03_Extract_Coordinates/_tmp/log_extract_coordinates_20260407_093420.txt

[09:34:20] INFO  Scanning for NIfTI files under: /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[09:34:23] INFO  Found 3850 inference file(s). Starting extraction.

[09:35:54] INFO  OK       automated_electrode_extraction sub-017 unzipped  —  4 clusters, coordinates extracted.
[09:35:55] INFO  OK       automated_electrode_extraction sub-017 unzipped  —  4 clusters, coordinates extracted.
[09:35:56] INFO  OK       automated_electrode_extraction sub-018 unzipped  —  4 clusters, coordinates extracted.
[09:35:57] INFO  OK       automated_electrode_extraction sub-018 unzipped  —  4 clusters, coordinates extracted.
[09:35:58] INFO  OK       automated_electrode_extraction sub-018 unzipped  —  4 clusters, coordinates extracted.
[09:35:59] INFO  OK       automated_electrode_extraction sub-018 unzipped  —  4 clusters, coordinates extracted.
[09:35:59] INFO  OK       automated_electrode_extraction sub-018 unzipped  —  4 clusters, coordinates extracted.
[09:36:00] INFO  OK       automated_electrode_extraction sub-018 unzipped  —  4 clusters, coordinates extracted.
[09:36:01] INFO  OK       automated_electrode_extraction sub-020 unzipped  —  4 clusters, coordinates extracted.
[09:36:02] INFO  OK       automated_electrode_extraction sub-020 unzipped  —  4 clusters, coordinates extracted.
[09:36:03] INFO  OK       automated_electrode_extraction sub-020 unzipped  —  4 clusters, coordinates extracted.
[09:36:03] INFO  OK       automated_electrode_extraction sub-020 unzipped  —  4 clusters, coordinates extracted.
[09:36:04] INFO  OK       automated_electrode_extraction sub-020 unzipped  —  4 clusters, coordinates extracted.
[09:36:05] INFO  OK       automated_electrode_extraction sub-020 unzipped  —  4 clusters, coordinates extracted.
[09:36:06] INFO  OK       automated_electrode_extraction sub-021 unzipped  —  4 clusters, coordinates extracted.
[09:36:07] INFO  OK       automated_electrode_extraction sub-021 unzipped  —  4 clusters, coordinates extracted.
[09:36:08] INFO  OK       automated_electrode_extraction sub-021 unzipped  —  4 clusters, coordinates extracted.
[09:36:09] INFO  OK       automated_electrode_extraction sub-021 unzipped  —  4 clusters, coordinates extracted.
[09:36:09] INFO  OK       automated_electrode_extraction sub-021 unzipped  —  4 clusters, coordinates extracted.
[09:36:10] INFO  OK       automated_electrode_extraction sub-021 unzipped  —  4 clusters, coordinates extracted.
[09:36:11] INFO  OK       automated_electrode_extraction sub-021 unzipped  —  4 clusters, coordinates extracted.
[09:36:12] INFO  OK       automated_electrode_extraction sub-021 unzipped  —  4 clusters, coordinates extracted.
[09:36:13] INFO  OK       automated_electrode_extraction sub-022 unzipped  —  4 clusters, coordinates extracted.
[09:36:13] INFO  OK       automated_electrode_extraction sub-022 unzipped  —  4 clusters, coordinates extracted.
[09:36:14] INFO  OK       automated_electrode_extraction sub-022 unzipped  —  4 clusters, coordinates extracted.
[09:36:15] INFO  OK       automated_electrode_extraction sub-022 unzipped  —  4 clusters, coordinates extracted.
[09:36:16] INFO  OK       automated_electrode_extraction sub-022 unzipped  —  4 clusters, coordinates extracted.
[09:36:16] INFO  OK       automated_electrode_extraction sub-022 unzipped  —  4 clusters, coordinates extracted.
[09:36:17] INFO  OK       automated_electrode_extraction sub-022 unzipped  —  4 clusters, coordinates extracted.
[09:36:18] INFO  OK       automated_electrode_extraction sub-022 unzipped  —  4 clusters, coordinates extracted.
[09:36:19] INFO  OK       automated_electrode_extraction sub-023 unzipped  —  4 clusters, coordinates extracted.
[09:36:20] INFO  OK       automated_electrode_extraction sub-023 unzipped  —  4 clusters, coordinates extracted.
[09:36:21] INFO  OK       automated_electrode_extraction sub-023 unzipped  —  4 clusters, coordinates extracted.
[09:36:22] INFO  OK       automated_electrode_extraction sub-023 unzipped  —  4 clusters, coordinates extracted.
[09:36:22] INFO  OK       automated_electrode_extraction sub-023 unzipped  —  4 clusters, coordinates extracted.
[09:36:23] INFO  OK       automated_electrode_extraction sub-023 unzipped  —  4 clusters, coordinates extracted.
[09:36:24] INFO  OK       automated_electrode_extraction sub-023 unzipped  —  4 clusters, coordinates extracted.
[09:36:25] INFO  OK       automated_electrode_extraction sub-023 unzipped  —  4 clusters, coordinates extracted.
[09:36:26] INFO  OK       automated_electrode_extraction sub-024 unzipped  —  4 clusters, coordinates extracted.
[09:36:26] INFO  OK       automated_electrode_extraction sub-024 unzipped  —  4 clusters, coordinates extracted.
[09:36:27] INFO  OK       automated_electrode_extraction sub-024 unzipped  —  4 clusters, coordinates extracted.
[09:36:28] INFO  OK       automated_electrode_extraction sub-024 unzipped  —  4 clusters, coordinates extracted.
[09:36:29] INFO  OK       automated_electrode_extraction sub-024 unzipped  —  4 clusters, coordinates extracted.
[09:36:30] INFO  OK       automated_electrode_extraction sub-024 unzipped  —  4 clusters, coordinates extracted.
[09:36:31] INFO  OK       automated_electrode_extraction sub-024 unzipped  —  4 clusters, coordinates extracted.
[09:36:32] INFO  OK       automated_electrode_extraction sub-024 unzipped  —  4 clusters, coordinates extracted.
