=== Extract Coordinates Log  2026-09-04 08:59:38 ===

[08:59:38] INFO  Script started
[08:59:38] INFO  Network    : reduced  (not in registry)
[08:59:38] INFO  Mask glob  : *_inference_reduced.nii.gz
[08:59:38] INFO  Base path  : /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[08:59:38] INFO  Output CSV : /media/Data03/Projects/New_repository_07042026/Automated_Electrode_Coordinate_Extraction/code/03_Extract_Coordinates/Tables/electrode_positions_reduced_20260904.csv
[08:59:38] INFO  Log file   : /media/Data03/Projects/New_repository_07042026/Automated_Electrode_Coordinate_Extraction/code/03_Extract_Coordinates/_tmp/log_extract_coordinates_reduced_20260904_085938.txt

[08:59:38] INFO  Distance window : 5-125 mm
[08:59:38] INFO  Star min angle  : not enforced
[08:59:38] INFO  Star max rad CV : not enforced
[08:59:38] INFO  Audit names above: 90 mm

[08:59:38] INFO  Scanning for NIfTI files under: /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[08:59:41] INFO  Found 4234 inference file(s). Starting extraction.

[09:01:42] INFO  OK       sub-021 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:01:43] INFO  OK       sub-021 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:01:44] INFO  OK       sub-022 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:01:44] INFO  OK       sub-022 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:01:45] INFO  OK       sub-022 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:01:46] INFO  OK       sub-022 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:01:47] WARN  5-CLUSTER RECOVERY  sub-022 ses-3 run-01  —  Originally 5 clusters detected. Spurious cluster removed. Star-fit rule: dropped cluster key=2 (star score=0.0560 ≤ threshold=0.35).
[09:01:47] INFO  OK       sub-022 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:01:49] WARN  MERGE RECOVERY  sub-022 ses-3 run-02  —  General recovery 6→4 clusters  |  star score=0.0504, total score=0.2994  |  Groups: key 5 kept as-is;  key 7 kept as-is;  key 8 kept as-is;  key 10 kept as-is  |  Discarded: key 1 (size=674), key 2 (size=662)
[09:01:49] INFO  OK       sub-022 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:01:50] INFO  OK       sub-022 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:01:50] INFO  OK       sub-022 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:01:51] INFO  OK       sub-023 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:01:52] INFO  OK       sub-023 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:01:53] INFO  OK       sub-023 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:01:54] INFO  OK       sub-023 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:01:55] INFO  OK       sub-023 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:01:56] INFO  OK       sub-023 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:01:57] INFO  OK       sub-023 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:01:58] INFO  OK       sub-023 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:01:59] INFO  OK       sub-024 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:02:00] INFO  OK       sub-024 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:02:01] INFO  OK       sub-024 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:02:02] INFO  OK       sub-024 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:02:03] INFO  OK       sub-024 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:02:04] INFO  OK       sub-024 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:02:04] INFO  OK       sub-024 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:02:05] INFO  OK       sub-024 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:02:06] INFO  OK       sub-025 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:02:07] INFO  OK       sub-025 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:02:08] INFO  OK       sub-025 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:02:09] INFO  OK       sub-025 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:02:10] INFO  OK       sub-025 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:02:11] INFO  OK       sub-025 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:02:12] INFO  OK       sub-025 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:02:13] INFO  OK       sub-025 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:02:13] INFO  OK       sub-026 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:02:15] WARN  SIZE WARN  sub-026 ses-1 run-02  —  Cluster key=1: effective radius ≈ 3.5 mm is BELOW the expected minimum of 4 mm. The cluster may be a small segmentation fragment, not a complete electrode disc.
[09:02:15] WARN  SIZE WARN  sub-026 ses-1 run-02  —  Cluster key=2: effective radius ≈ 3.4 mm is BELOW the expected minimum of 4 mm. The cluster may be a small segmentation fragment, not a complete electrode disc.
[09:02:15] WARN  MERGE RECOVERY  sub-026 ses-1 run-02  —  General recovery 6→4 clusters  |  star score=0.0497, total score=0.2169  |  Groups: key 3 kept as-is;  key 6 kept as-is;  key 7 kept as-is;  key 9 kept as-is  |  Discarded: key 1 (size=548), key 2 (size=224)
[09:02:15] INFO  OK       sub-026 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:02:16] INFO  OK       sub-026 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:02:17] INFO  OK       sub-026 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:02:18] INFO  OK       sub-026 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:02:18] INFO  OK       sub-026 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:02:19] INFO  OK       sub-026 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:02:20] INFO  OK       sub-026 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:02:21] INFO  OK       sub-028 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:02:22] INFO  OK       sub-028 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:02:23] INFO  OK       sub-028 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:02:24] INFO  OK       sub-028 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:02:25] INFO  OK       sub-028 ses-4 run-01  —  4 clusters, coordinates extracted.
