subject,session,run,electrode,condition,X,Y,Z,coordinates_xyz,euclidean_norm
sub-004,ses-4,run-02,anode,unknown,77.8991697,-53.95552372,-3.84353378,"[77.899, -53.956, -3.844]",94.83802998674572
sub-004,ses-4,run-02,cathode1,unknown,71.20280426,-74.98635568,15.50720503,"[71.203, -74.986, 15.507]",104.56226030694727
sub-004,ses-4,run-02,cathode2,unknown,74.56563764,-58.84752327,-31.72936723,"[74.566, -58.848, -31.729]",100.1489793082744
sub-004,ses-4,run-02,cathode3,unknown,78.40778863,-27.16247089,7.52226119,"[78.408, -27.162, 7.522]",83.31965888136745
sub-005,ses-1,run-01,anode,unknown,57.89077707,13.24079907,61.60753437,"[57.891, 13.241, 61.608]",85.5695572089238
sub-005,ses-1,run-01,cathode1,unknown,24.12293665,40.3708481,73.02946232,"[24.123, 40.371, 73.029]",86.86209654205616
sub-005,ses-1,run-01,cathode2,unknown,52.51945169,-32.9240864,76.36192285,"[52.519, -32.924, 76.362]",98.35360457269607
sub-005,ses-1,run-01,cathode3,unknown,69.34053592,20.13535452,16.48109383,"[69.341, 20.135, 16.481]",74.06192596167182
sub-005,ses-1,run-02,anode,unknown,57.45761236,13.17517437,61.3049247,"[57.458, 13.175, 61.305]",85.0485521938181
sub-005,ses-1,run-02,cathode1,unknown,23.56553785,40.11265018,72.58810124,"[23.566, 40.113, 72.588]",86.21711964715202
sub-005,ses-1,run-02,cathode2,unknown,51.94186558,-33.10549794,76.38536169,"[51.942, -33.105, 76.385]",98.12570954799895
sub-005,ses-1,run-02,cathode3,unknown,68.97280883,19.85393776,16.2793794,"[68.973, 19.854, 16.279]",73.59650396674304
sub-005,ses-2,run-01,anode,unknown,53.7130352,15.16584913,66.10221242,"[53.713, 15.166, 66.102]",86.51355741760457
sub-005,ses-2,run-01,cathode1,unknown,28.36022937,43.0279747,68.65813333,"[28.360, 43.028, 68.658]",85.84665683101997
