subject,session,run,project,extracted_mean_x,condition_in_table,n_candidates,condition_separation_mm,recommended,reason,baseline_side_ok,baseline_mean_x,swap
sub-033,ses-1,run-02,P0,-71.32,unknown,2,1.78,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-033,ses-2,run-01,P0,-72.0,unknown,2,1.78,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-033,ses-2,run-02,P0,-71.74,unknown,2,1.78,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-033,ses-3,run-01,P0,-74.2,unknown,2,1.78,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-033,ses-3,run-02,P0,-74.21,unknown,2,1.78,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-033,ses-4,run-01,P0,-73.09,unknown,2,1.78,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-033,ses-4,run-02,P0,-72.91,unknown,2,1.78,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-034,ses-1,run-01,P0,37.18,unknown,2,32.36,unknown,side is ambiguous,,,no
sub-034,ses-1,run-02,P0,34.76,unknown,2,32.36,unknown,side is ambiguous,,,no
sub-034,ses-2,run-01,P0,40.56,unknown,2,32.36,unknown,side is ambiguous,,,no
sub-034,ses-2,run-02,P0,40.1,unknown,2,32.36,unknown,side is ambiguous,,,no
sub-034,ses-3,run-01,P0,43.74,unknown,2,32.36,unknown,side is ambiguous,,,no
sub-034,ses-3,run-02,P0,43.03,unknown,2,32.36,unknown,side is ambiguous,,,no
sub-034,ses-4,run-01,P0,35.78,unknown,2,32.36,unknown,side is ambiguous,,,no
sub-034,ses-4,run-02,P0,35.61,unknown,2,32.36,unknown,side is ambiguous,,,no
sub-035,ses-1,run-01,P0,41.54,target,2,2.67,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-035,ses-1,run-02,P0,40.71,target,2,2.67,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-035,ses-2,run-01,P0,46.31,target,2,2.67,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-035,ses-2,run-02,P0,46.54,target,2,2.67,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-035,ses-3,run-01,P0,51.55,target,2,2.67,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-035,ses-3,run-02,P0,51.46,target,2,2.67,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-035,ses-4,run-01,P0,47.69,target,2,2.67,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-035,ses-4,run-02,P0,48.32,target,2,2.67,target,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-036,ses-2,run-01,P0,51.93,control,2,105.12,control,matches the side of the 'control' montage,,,no
sub-036,ses-2,run-02,P0,51.35,control,2,105.12,control,matches the side of the 'control' montage,,,no
sub-036,ses-3,run-01,P0,52.9,control,2,105.12,control,matches the side of the 'control' montage,,,no
sub-036,ses-3,run-02,P0,52.43,control,2,105.12,control,matches the side of the 'control' montage,,,no
sub-036,ses-4,run-01,P0,53.6,control,2,105.12,control,matches the side of the 'control' montage,,,no
sub-036,ses-4,run-02,P0,53.46,control,2,105.12,control,matches the side of the 'control' montage,,,no
sub-037,ses-1,run-01,P0,64.04,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-037,ses-1,run-02,P0,65.4,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-037,ses-2,run-01,P0,59.97,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-037,ses-2,run-02,P0,59.97,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-037,ses-3,run-01,P0,57.97,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-037,ses-3,run-02,P0,57.68,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-037,ses-4,run-01,P0,56.91,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-037,ses-4,run-02,P0,57.54,control,2,110.12,control,matches the side of the 'control' montage,,,no
sub-038,ses-1,run-01,P0,32.34,target,2,74.65,target,matches the side of the 'target' montage,,,no
sub-038,ses-1,run-02,P0,32.21,target,2,74.65,target,matches the side of the 'target' montage,,,no
sub-038,ses-2,run-01,P0,39.84,target,2,74.65,target,matches the side of the 'target' montage,,,no
sub-038,ses-2,run-02,P0,38.28,target,2,74.65,target,matches the side of the 'target' montage,,,no
sub-038,ses-3,run-01,P0,39.49,target,2,74.65,target,matches the side of the 'target' montage,,,no
sub-038,ses-3,run-02,P0,38.96,target,2,74.65,target,matches the side of the 'target' montage,,,no
sub-038,ses-4,run-01,P0,39.18,target,2,74.65,target,matches the side of the 'target' montage,,,no
sub-038,ses-4,run-02,P0,38.74,target,2,74.65,target,matches the side of the 'target' montage,,,no
sub-039,ses-1,run-01,P0,-67.94,unknown,2,28.58,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-039,ses-1,run-02,P0,-67.57,unknown,2,28.58,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-039,ses-2,run-01,P0,-68.48,unknown,2,28.58,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-039,ses-2,run-02,P0,-69.15,unknown,2,28.58,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-039,ses-3,run-01,P0,-69.62,unknown,2,28.58,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-039,ses-3,run-02,P0,-69.95,unknown,2,28.58,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-039,ses-4,run-01,P0,-68.21,unknown,2,28.58,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-039,ses-4,run-02,P0,-68.41,unknown,2,28.58,unknown,the two conditions are not separated by hemisphere; the rule does not apply,,,no
sub-040,ses-1,run-01,P0,47.55,target,2,81.59,target,matches the side of the 'target' montage,,,no
sub-040,ses-1,run-02,P0,47.48,target,2,81.59,target,matches the side of the 'target' montage,,,no
sub-040,ses-2,run-01,P0,50.52,target,2,81.59,target,matches the side of the 'target' montage,,,no
