network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
b_no_attention,1411.3,1357.0,1387.8,1761.2,5917.2,0.1108,40.56,44.16,0.0373,114.68,0.52,True,sub-005,ses-4,run-02,[56.06848735  5.96095516 70.19846579],[30.23126255 31.06735764 79.26019091],[ 48.47632812 -31.10316147  82.75425581],[69.55152297  8.43358136 36.26488944]
b_no_attention,1747.2,1900.5,1706.9,1723.0,7077.6,0.0435,35.16,37.88,0.0346,116.27,1.3,True,sub-006,ses-1,run-01,[ 70.02342553 -67.48151875   0.63955804],[ 55.83490095 -81.33335967 -24.27216611],[ 64.54721047 -80.91238917  31.60433669],[ 76.25340284 -36.37497495  -0.27339038]
b_no_attention,1728.1,1908.6,1745.0,1727.4,7109.2,0.0428,35.65,37.52,0.024,117.38,0.37,True,sub-006,ses-1,run-02,[ 70.16249674 -68.20551634   0.95432735],[ 55.77320256 -81.8710398  -24.42638197],[ 64.60527187 -81.88674614  31.43873418],[ 76.31450178 -36.64341255  -0.19748801]
b_no_attention,1679.0,1835.2,1659.2,1751.6,6925.0,0.04,29.96,34.78,0.0649,116.36,1.48,True,sub-006,ses-2,run-01,[ 71.29158715 -66.46097857   5.74685869],[ 62.26416316 -85.63678201  24.02287799],[ 63.46570383 -68.7884337  -24.56466259],[ 77.08035526 -42.05382908  15.8438676 ]
b_no_attention,1651.1,1795.6,1659.2,1753.8,6859.8,0.0359,29.92,34.55,0.0627,116.57,1.25,True,sub-006,ses-2,run-02,[ 71.29459868 -66.55973469   5.56670048],[ 62.39028045 -85.90631076  23.57162067],[ 63.18170745 -69.04732863 -24.43915042],[ 76.97018199 -42.23044345  15.81896853]
b_no_attention,1439.1,1660.7,1471.4,1640.9,6212.1,0.0635,31.24,32.71,0.0201,117.47,1.1,True,sub-006,ses-3,run-01,[ 71.33578307 -65.72352176   5.69707067],[ 62.93134226 -71.72987711 -21.9593477 ],[ 63.305741   -83.50639593  27.59383217],[ 76.67624637 -38.78596404  12.1126319 ]
b_no_attention,1453.8,1722.3,1461.1,1602.7,6239.9,0.0711,31.34,32.68,0.0191,117.78,0.68,True,sub-006,ses-3,run-02,[ 71.33622957 -65.78153889   5.90696874],[ 63.0064599  -71.79497517 -21.74415729],[ 63.47505123 -84.02243115  27.60313855],[ 76.42378746 -38.76126745  12.55522003]
b_no_attention,1492.7,1500.0,1632.8,1694.4,6319.9,0.0547,32.23,33.07,0.0105,115.41,4.03,True,sub-006,ses-4,run-01,[ 70.79418115 -67.05788297   8.03137508],[ 59.61930364 -89.0017762   24.8798336 ],[ 67.41990872 -65.09854525 -21.22346904],[ 76.59941965 -42.006592    21.62840961]
b_no_attention,1501.5,1435.5,1680.5,1875.6,6493.0,0.1054,30.81,33.04,0.0307,115.89,3.53,True,sub-006,ses-4,run-02,[ 71.42247451 -68.03347924   8.39602381],[ 60.23172208 -89.95206024  24.71744489],[ 67.93245957 -65.93227028 -21.15172549],[ 76.97732181 -44.4136495   21.97523153]
b_no_attention,1542.6,1321.0,1456.7,2034.0,6354.4,0.1693,36.4,38.41,0.0222,115.83,1.09,True,sub-007,ses-1,run-01,[-61.14218264 -31.80649932  61.04149634],[-64.15676618 -50.97598833  34.52553348],[-61.18380875   1.29964265  55.31522091],[-40.73213951 -42.6559313   86.85435286]
b_no_attention,1630.6,1337.9,1480.2,2024.5,6473.2,0.1584,36.9,37.73,0.0097,114.83,1.47,True,sub-007,ses-1,run-02,[-61.17336163 -32.52070603  61.9313392 ],[-64.32041705 -51.29987841  34.60033174],[-61.11021219   0.94758234  56.298296  ],[-41.02714637 -43.63809654  86.99869799]
