Unnamed: 0,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
19823.0,sub-062,ses-3,run-02,P3,Cathode2,Sophie,manually,Z,6.0,
6555.0,sub-062,ses-3,run-02,P3,Cathode3,Sophie,manually,X,-56.0,
13191.0,sub-062,ses-3,run-02,P3,Cathode3,Sophie,manually,Y,-60.0,
19827.0,sub-062,ses-3,run-02,P3,Cathode3,Sophie,manually,Z,66.0,
6556.0,sub-062,ses-4,run-01,P3,Anode,Kira,half-automated,X,-71.53,2023-10-29
13192.0,sub-062,ses-4,run-01,P3,Anode,Kira,half-automated,Y,-38.86,2023-10-29
19828.0,sub-062,ses-4,run-01,P3,Anode,Kira,half-automated,Z,22.9,2023-10-29
6560.0,sub-062,ses-4,run-01,P3,Cathode1,Kira,half-automated,X,-67.31,
13196.0,sub-062,ses-4,run-01,P3,Cathode1,Kira,half-automated,Y,-1.63,
19832.0,sub-062,ses-4,run-01,P3,Cathode1,Kira,half-automated,Z,31.18,
6564.0,sub-062,ses-4,run-01,P3,Cathode2,Kira,half-automated,X,-70.02,2023-10-29
13200.0,sub-062,ses-4,run-01,P3,Cathode2,Kira,half-automated,Y,-50.37,2023-10-29
19836.0,sub-062,ses-4,run-01,P3,Cathode2,Kira,half-automated,Z,-13.92,2023-10-29
6568.0,sub-062,ses-4,run-01,P3,Cathode3,Kira,half-automated,X,-59.3,
13204.0,sub-062,ses-4,run-01,P3,Cathode3,Kira,half-automated,Y,-61.71,
19840.0,sub-062,ses-4,run-01,P3,Cathode3,Kira,half-automated,Z,49.39,
6557.0,sub-062,ses-4,run-01,P3,Anode,Kira,manually,X,-80.0,2023-10-29
13193.0,sub-062,ses-4,run-01,P3,Anode,Kira,manually,Y,-40.0,2023-10-29
19829.0,sub-062,ses-4,run-01,P3,Anode,Kira,manually,Z,28.0,2023-10-29
6561.0,sub-062,ses-4,run-01,P3,Cathode1,Kira,manually,X,-76.0,
13197.0,sub-062,ses-4,run-01,P3,Cathode1,Kira,manually,Y,-3.0,
19833.0,sub-062,ses-4,run-01,P3,Cathode1,Kira,manually,Z,34.0,
6565.0,sub-062,ses-4,run-01,P3,Cathode2,Kira,manually,X,-83.0,
13201.0,sub-062,ses-4,run-01,P3,Cathode2,Kira,manually,Y,-54.0,
19837.0,sub-062,ses-4,run-01,P3,Cathode2,Kira,manually,Z,-11.0,
6569.0,sub-062,ses-4,run-01,P3,Cathode3,Kira,manually,X,-64.0,
