network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
a_baseline,1471.4,1480.2,1553.6,1408.3,5913.5,0.0348,40.13,44.27,0.0402,112.14,2.85,True,sub-007,ses-2,run-02,[-63.04844244 -42.10070128  53.27397992],[-62.94964197  -2.13154438  52.99931017],[-62.28220728 -59.96465066  19.19170153],[-43.36104413 -59.43258939  78.22533425]
a_baseline,1626.9,1549.2,1668.0,1701.7,6545.8,0.0348,38.75,44.37,0.0554,111.62,3.1,True,sub-007,ses-3,run-01,[-62.97297587 -40.96614928  53.66789076],[-62.60855968 -59.14173326  21.17621995],[-64.41873208  -1.29142505  48.36689988],[-42.25492786 -51.91614067  79.60522464]
a_baseline,1613.0,1508.1,1654.8,1676.1,6451.9,0.0401,38.46,44.27,0.0575,111.86,2.78,True,sub-007,ses-3,run-02,[-63.17019237 -41.22193449  54.33190419],[-63.08199272 -59.39586342  21.86192132],[-64.50789641  -1.60759852  49.21077084],[-42.77260817 -52.82186893  79.87877988]
a_baseline,1593.2,1512.5,1640.1,1598.3,6344.1,0.0291,40.22,44.31,0.0396,114.46,0.62,True,sub-007,ses-4,run-01,[-62.41948472 -36.52597913  57.37962109],[-63.04174259 -56.33019947  24.96879347],[-61.98786623   3.28499545  53.53007609],[-39.88481428 -49.64851953  82.59055331]
a_baseline,1542.6,1503.7,1571.9,1607.1,6225.3,0.0244,40.52,44.11,0.0348,113.76,1.57,True,sub-007,ses-4,run-02,[-62.79133771 -37.0977976   58.06439539],[-63.28193107 -56.65377535  25.47325938],[-62.01355068   2.63305006  55.47643781],[-40.10269345 -50.87172945  83.18047859]
a_baseline,1232.3,1108.3,1273.4,1185.3,4799.3,0.0511,39.72,43.37,0.0382,113.03,2.12,True,sub-009,ses-1,run-01,[-70.07666883 -44.5505194   37.67479281],[-64.65782667 -61.53276208   2.81567813],[-67.22127948  -6.08859608  39.88441982],[-55.49942942 -61.34780081  65.76856147]
a_baseline,1143.5,1123.7,1267.5,1198.6,4733.3,0.0471,39.67,43.49,0.0397,112.74,2.27,True,sub-009,ses-1,run-02,[-70.09824885 -45.14803659  38.10487105],[-64.48969028 -61.80677854   2.99583545],[-67.12042701  -6.7117548   40.84105625],[-55.16513676 -62.20555693  65.79342252]
a_baseline,1366.5,1498.6,1512.5,1373.9,5751.4,0.0472,41.14,42.84,0.017,114.59,1.65,True,sub-010,ses-1,run-01,[60.77275701 17.3478199  56.27894144],[35.86644882 41.52689014 69.35385215],[ 59.03352366 -16.99156668  71.45680856],[68.57874346 17.8248486  18.41582445]
a_baseline,1358.5,1504.4,1439.1,1357.0,5659.0,0.0435,40.98,42.89,0.019,113.89,2.28,True,sub-010,ses-1,run-02,[61.10188818 16.66938257 57.96557385],[36.42990051 40.44664557 71.78317651],[ 59.16331353 -17.73391303  72.91717774],[69.00153003 17.57779788 20.08297835]
a_baseline,1460.4,1389.3,1291.7,1544.8,5686.1,0.0654,41.63,41.9,0.0027,111.36,3.1,True,sub-010,ses-2,run-01,[56.70704959 22.86747676 60.75300108],[31.22017283 49.89371963 66.12406922],[48.54456256 -8.06283186 80.92668099],[67.94601261 18.85708129 24.94202986]
a_baseline,1363.6,1446.5,1196.4,1582.2,5588.6,0.1,41.49,41.71,0.0022,112.59,2.46,True,sub-010,ses-2,run-02,[57.48402867 21.747018   62.10637477],[32.21805631 48.86797493 67.14084736],[49.32444814 -9.4841651  81.47577491],[68.68297866 18.10521779 26.43558919]
a_baseline,1439.9,1342.3,1370.9,1374.6,5527.7,0.0258,41.62,42.34,0.0077,112.96,1.93,True,sub-010,ses-3,run-01,[54.12848354 30.30414948 58.46251061],[27.14504032 56.14489943 61.85264611],[49.98492311 -2.37733793 77.83618328],[65.99220647 26.08520132 23.01141088]
a_baseline,1398.8,1431.8,1221.3,1384.9,5436.8,0.0599,41.51,42.88,0.0136,112.86,2.0,True,sub-010,ses-3,run-02,[53.99092776 29.64795394 60.29955104],[27.06797184 55.41827783 63.63709615],[49.69228825 -3.56962392 79.70025494],[66.14910632 25.667665   24.68485016]
a_baseline,1245.5,1284.4,1228.6,1435.5,5194.0,0.0629,40.62,42.36,0.0173,113.47,1.02,True,sub-010,ses-4,run-01,[57.61174515 24.94385491 57.89374589],[31.53264595 52.29453927 63.40148806],[52.00804597 -6.79803649 76.5668546 ],[67.53905923 21.12013462 22.81221558]
a_baseline,1224.2,1340.1,1186.1,1471.4,5221.8,0.0853,40.3,42.17,0.0185,113.83,1.04,True,sub-010,ses-4,run-02,[57.91533918 24.45070638 59.10614924],[31.94688725 51.5103134  65.32259341],[52.26502626 -7.26457001 77.70213584],[67.63347937 21.18693386 24.21338207]
a_baseline,1640.1,1509.6,1625.5,1797.8,6573.0,0.0624,40.56,41.66,0.0113,111.19,3.64,True,sub-011,ses-1,run-01,[49.0891482  30.61024522 58.04504153],[23.13157404 57.69274314 56.42110647],[41.73260514  1.34375419 79.24289565],[65.34845469 25.97351554 25.59260775]
