,Electrode,run,Session,Subject,Dimension,Coordinates,Experiment,date,Electrode-Dimension,Session-run,Experiment-Session_run,Experiment-Session,Dimension-Session,Dimension-Experiment
122,Cathode2,run-01,ses-2,sub-011,X,26.732665297109634,P7,2023-09-07,Cathode2-X,ses-2-run-01,P7-ses-2-run-01,P7-ses-2,X-ses-2,X-P7
123,Cathode3,run-01,ses-2,sub-011,X,69.12353378115222,P7,2023-09-07,Cathode3-X,ses-2-run-01,P7-ses-2-run-01,P7-ses-2,X-ses-2,X-P7
124,Anode,run-02,ses-2,sub-011,X,51.291401808615774,P7,2023-09-07,Anode-X,ses-2-run-02,P7-ses-2-run-02,P7-ses-2,X-ses-2,X-P7
125,Cathode1,run-02,ses-2,sub-011,X,43.37270388007164,P7,2023-09-07,Cathode1-X,ses-2-run-02,P7-ses-2-run-02,P7-ses-2,X-ses-2,X-P7
126,Cathode2,run-02,ses-2,sub-011,X,25.85568533325568,P7,2023-09-07,Cathode2-X,ses-2-run-02,P7-ses-2-run-02,P7-ses-2,X-ses-2,X-P7
127,Cathode3,run-02,ses-2,sub-011,X,68.24655381729826,P7,2023-09-07,Cathode3-X,ses-2-run-02,P7-ses-2-run-02,P7-ses-2,X-ses-2,X-P7
128,Anode,run-01,ses-1,sub-011,X,48.70915841590613,P7,2023-07-05,Anode-X,ses-1-run-01,P7-ses-1-run-01,P7-ses-1,X-ses-1,X-P7
129,Cathode1,run-01,ses-1,sub-011,X,42.6061301571317,P7,2023-07-05,Cathode1-X,ses-1-run-01,P7-ses-1-run-01,P7-ses-1,X-ses-1,X-P7
130,Cathode2,run-01,ses-1,sub-011,X,25.956375854555517,P7,2023-07-05,Cathode2-X,ses-1-run-01,P7-ses-1-run-01,P7-ses-1,X-ses-1,X-P7
131,Cathode3,run-01,ses-1,sub-011,X,64.7743172175251,P7,2023-07-05,Cathode3-X,ses-1-run-01,P7-ses-1-run-01,P7-ses-1,X-ses-1,X-P7
132,Anode,run-02,ses-1,sub-011,X,48.68966802628711,P7,2023-07-05,Anode-X,ses-1-run-02,P7-ses-1-run-02,P7-ses-1,X-ses-1,X-P7
133,Cathode1,run-02,ses-1,sub-011,X,42.6061301571317,P7,2023-07-05,Cathode1-X,ses-1-run-02,P7-ses-1-run-02,P7-ses-1,X-ses-1,X-P7
134,Cathode2,run-02,ses-1,sub-011,X,22.34452690463513,P7,2023-07-05,Cathode2-X,ses-1-run-02,P7-ses-1-run-02,P7-ses-1,X-ses-1,X-P7
135,Cathode3,run-02,ses-1,sub-011,X,63.90381440008059,P7,2023-07-05,Cathode3-X,ses-1-run-02,P7-ses-1-run-02,P7-ses-1,X-ses-1,X-P7
136,Anode,run-01,ses-3,sub-011,X,52.30805307300761,P7,2023-09-21,Anode-X,ses-3-run-01,P7-ses-3-run-01,P7-ses-3,X-ses-3,X-P7
137,Cathode1,run-01,ses-3,sub-011,X,49.7584025952965,P7,2023-09-21,Cathode1-X,ses-3-run-01,P7-ses-3-run-01,P7-ses-3,X-ses-3,X-P7
138,Cathode2,run-01,ses-3,sub-011,X,25.97586624417454,P7,2023-09-21,Cathode2-X,ses-3-run-01,P7-ses-3-run-01,P7-ses-3,X-ses-3,X-P7
139,Cathode3,run-01,ses-3,sub-011,X,66.60953622730449,P7,2023-09-21,Cathode3-X,ses-3-run-01,P7-ses-3-run-01,P7-ses-3,X-ses-3,X-P7
140,Anode,run-02,ses-3,sub-011,X,53.18503303686157,P7,2023-09-21,Anode-X,ses-3-run-02,P7-ses-3-run-02,P7-ses-3,X-ses-3,X-P7
141,Cathode1,run-02,ses-3,sub-011,X,49.73243505926803,P7,2023-09-21,Cathode1-X,ses-3-run-02,P7-ses-3-run-02,P7-ses-3,X-ses-3,X-P7
142,Cathode2,run-02,ses-3,sub-011,X,26.852846208028495,P7,2023-09-21,Cathode2-X,ses-3-run-02,P7-ses-3-run-02,P7-ses-3,X-ses-3,X-P7
143,Cathode3,run-02,ses-3,sub-011,X,66.60953622730449,P7,2023-09-21,Cathode3-X,ses-3-run-02,P7-ses-3-run-02,P7-ses-3,X-ses-3,X-P7
144,Anode,run-01,ses-4,sub-037,X,59.61478544026613,P7,2023-10-29,Anode-X,ses-4-run-01,P7-ses-4-run-01,P7-ses-4,X-ses-4,X-P7
145,Cathode1,run-01,ses-4,sub-037,X,54.8539081402123,P7,2023-10-29,Cathode1-X,ses-4-run-01,P7-ses-4-run-01,P7-ses-4,X-ses-4,X-P7
146,Cathode2,run-01,ses-4,sub-037,X,31.774354949593544,P7,2023-10-29,Cathode2-X,ses-4-run-01,P7-ses-4-run-01,P7-ses-4,X-ses-4,X-P7
