,Subject,Experiment,Electrode,run,Session,Dimension,Coordinate difference in mm,date
249,sub-003,P3,Cathode1,run-01,ses-2,X,21.445508759743532,2023-08-23
250,sub-003,P3,Cathode1,run-01,ses-2,Y,50.045754022300244,2023-08-23
251,sub-003,P3,Cathode1,run-01,ses-2,Z,22.76736357297748,2023-08-23
252,sub-003,P3,Cathode1,run-01,ses-3,X,24.162545490586197,2023-10-25
253,sub-003,P3,Cathode1,run-01,ses-3,Y,51.25301377415657,2023-10-25
254,sub-003,P3,Cathode1,run-01,ses-3,Z,24.35647548690438,2023-10-25
258,sub-003,P3,Cathode1,run-02,ses-1,X,18.82078008253127,2023-06-07
259,sub-003,P3,Cathode1,run-02,ses-1,Y,54.11047884762287,2023-06-07
260,sub-003,P3,Cathode1,run-02,ses-1,Z,15.476651599183676,2023-06-07
261,sub-003,P3,Cathode1,run-02,ses-2,X,22.34693914271891,2023-08-23
262,sub-003,P3,Cathode1,run-02,ses-2,Y,50.21456235587597,2023-08-23
263,sub-003,P3,Cathode1,run-02,ses-2,Z,23.65276466451585,2023-08-23
264,sub-003,P3,Cathode1,run-02,ses-3,X,23.289695251658557,2023-10-25
265,sub-003,P3,Cathode1,run-02,ses-3,Y,52.85201626211405,2023-10-25
266,sub-003,P3,Cathode1,run-02,ses-3,Z,23.104931138940152,2023-10-25
273,sub-003,P3,Cathode2,run-01,ses-1,X,0.04085506340489076,2023-06-07
274,sub-003,P3,Cathode2,run-01,ses-1,Y,7.896339410841463,2023-06-07
275,sub-003,P3,Cathode2,run-01,ses-1,Z,4.295531454272568,2023-06-07
276,sub-003,P3,Cathode2,run-01,ses-2,X,1.0427056116052,2023-08-23
277,sub-003,P3,Cathode2,run-01,ses-2,Y,13.48875509381294,2023-08-23
278,sub-003,P3,Cathode2,run-01,ses-2,Z,4.239818072170019,2023-08-23
279,sub-003,P3,Cathode2,run-01,ses-3,X,0.08720392074901895,2023-10-25
280,sub-003,P3,Cathode2,run-01,ses-3,Y,10.150466436445711,2023-10-25
281,sub-003,P3,Cathode2,run-01,ses-3,Z,2.624893185906112,2023-10-25
285,sub-003,P3,Cathode2,run-02,ses-1,X,0.9019010455347569,2023-06-07
286,sub-003,P3,Cathode2,run-02,ses-1,Y,5.258885504603384,2023-06-07
287,sub-003,P3,Cathode2,run-02,ses-1,Z,4.843364979848266,2023-06-07
288,sub-003,P3,Cathode2,run-02,ses-2,X,1.961515046819116,2023-08-23
289,sub-003,P3,Cathode2,run-02,ses-2,Y,14.90761015743017,2023-08-23
290,sub-003,P3,Cathode2,run-02,ses-2,Z,1.7694491438940165,2023-08-23
291,sub-003,P3,Cathode2,run-02,ses-3,X,0.044333704677413266,2023-10-25
292,sub-003,P3,Cathode2,run-02,ses-3,Y,7.498750204145907,2023-10-25
293,sub-003,P3,Cathode2,run-02,ses-3,Z,2.0756783012673257,2023-10-25
300,sub-003,P3,Cathode3,run-01,ses-1,X,23.347312265341174,2023-06-07
301,sub-003,P3,Cathode3,run-01,ses-1,Y,63.49257059901953,2023-06-07
302,sub-003,P3,Cathode3,run-01,ses-1,Z,29.587098260037607,2023-06-07
303,sub-003,P3,Cathode3,run-01,ses-2,X,20.735329170045446,2023-08-23
304,sub-003,P3,Cathode3,run-01,ses-2,Y,68.25813017547131,2023-08-23
305,sub-003,P3,Cathode3,run-01,ses-2,Z,21.229294925555592,2023-08-23
306,sub-003,P3,Cathode3,run-01,ses-3,X,21.560675722579475,2023-10-25
307,sub-003,P3,Cathode3,run-01,ses-3,Y,63.45819947630167,2023-10-25
308,sub-003,P3,Cathode3,run-01,ses-3,Z,20.377994960732764,2023-10-25
312,sub-003,P3,Cathode3,run-02,ses-1,X,23.33147770320997,2023-06-07
313,sub-003,P3,Cathode3,run-02,ses-1,Y,62.42559452861548,2023-06-07
314,sub-003,P3,Cathode3,run-02,ses-1,Z,28.886150155775255,2023-06-07
315,sub-003,P3,Cathode3,run-02,ses-2,X,20.735329170045446,2023-08-23
316,sub-003,P3,Cathode3,run-02,ses-2,Y,68.25813017547131,2023-08-23
317,sub-003,P3,Cathode3,run-02,ses-2,Z,21.229294925555592,2023-08-23
318,sub-003,P3,Cathode3,run-02,ses-3,X,21.54484116044827,2023-10-25
319,sub-003,P3,Cathode3,run-02,ses-3,Y,62.39122340589762,2023-10-25
320,sub-003,P3,Cathode3,run-02,ses-3,Z,19.67704685647041,2023-10-25
327,sub-004,P3,Anode,run-01,ses-1,X,0.019637193959212595,2023-05-24
328,sub-004,P3,Anode,run-01,ses-1,Y,31.436429442316296,2023-05-24
329,sub-004,P3,Anode,run-01,ses-1,Z,25.7749181361543,2023-05-24
330,sub-004,P3,Anode,run-01,ses-2,X,1.8020463883504334,2023-08-20
331,sub-004,P3,Anode,run-01,ses-2,Y,29.180244901627304,2023-08-20
332,sub-004,P3,Anode,run-01,ses-2,Z,6.020131021006964,2023-08-20
333,sub-004,P3,Anode,run-01,ses-3,X,0.2497972107585582,2024-01-28
334,sub-004,P3,Anode,run-01,ses-3,Y,5.058245287686589,2024-01-28
335,sub-004,P3,Anode,run-01,ses-3,Z,2.2576213805330916,2024-01-28
336,sub-004,P3,Anode,run-01,ses-4,X,0.2573057964537355,2024-02-04
337,sub-004,P3,Anode,run-01,ses-4,Y,5.4333691163361095,2024-02-04
338,sub-004,P3,Anode,run-01,ses-4,Z,3.146036651884206,2024-02-04
339,sub-004,P3,Anode,run-02,ses-1,X,0.028439734792343074,2023-05-24
340,sub-004,P3,Anode,run-02,ses-1,Y,30.47335313394666,2023-05-24
341,sub-004,P3,Anode,run-02,ses-1,Z,24.93681141451467,2023-05-24
342,sub-004,P3,Anode,run-02,ses-2,X,1.8020463883504334,2023-08-20
343,sub-004,P3,Anode,run-02,ses-2,Y,29.180244901627304,2023-08-20
