,X,Y,Z,Electrode,run,Session,Subject
sub-007_ses-1_run-02_Cathode2,-60.97959506884217,0.305053174495697,53.024758607149124,Cathode2,run-02,ses-1,sub-007
sub-007_ses-1_run-02_Cathode3,-39.15118466317654,-44.72404575906694,83.32915730774403,Cathode3,run-02,ses-1,sub-007
sub-014_ses-4_run-01_Anode,-73.90064063866157,-55.96394715632778,43.80724199581891,Anode,run-01,ses-4,sub-014
sub-014_ses-4_run-01_Cathode1,-72.38731914607342,-70.15545972180553,8.621233919635415,Cathode1,run-01,ses-4,sub-014
sub-014_ses-4_run-01_Cathode2,-75.79680096684024,-15.465265485574491,47.07956182863563,Cathode2,run-01,ses-4,sub-014
sub-014_ses-4_run-01_Cathode3,-54.50638298119884,-70.05622008827049,68.62696486245841,Cathode3,run-01,ses-4,sub-014
sub-014_ses-4_run-02_Anode,-73.88354823668487,-56.81174572731834,42.852798850275576,Anode,run-02,ses-4,sub-014
sub-014_ses-4_run-02_Cathode1,-71.45326519815717,-71.85016405640636,6.72766965534538,Cathode1,run-02,ses-4,sub-014
sub-014_ses-4_run-02_Cathode2,-74.88164236722514,-15.410974232945591,46.19381618127227,Cathode2,run-02,ses-4,sub-014
sub-014_ses-4_run-02_Cathode3,-54.50458003487438,-70.95741710450966,68.57358939107507,Cathode3,run-02,ses-4,sub-014
sub-014_ses-2_run-01_Anode,-74.66110173542984,-56.385450972709805,35.62893543019891,Anode,run-01,ses-2,sub-014
sub-014_ses-2_run-01_Cathode1,-74.13852023566142,-63.63527244189754,5.359947469085455,Cathode1,run-01,ses-2,sub-014
sub-014_ses-2_run-01_Cathode2,-77.51915491523687,-23.364230465493165,42.96426783595234,Cathode2,run-01,ses-2,sub-014
sub-014_ses-2_run-01_Cathode3,-59.68253073422238,-73.81998378026765,55.65320790652186,Cathode3,run-01,ses-2,sub-014
sub-014_ses-2_run-02_Anode,-74.65929878910538,-57.28664798894897,35.575559958815575,Anode,run-02,ses-2,sub-014
sub-014_ses-2_run-02_Cathode1,-74.1349143430125,-65.43766647437587,5.2531965263187885,Cathode1,run-02,ses-2,sub-014
sub-014_ses-2_run-02_Cathode2,-77.51735196891241,-24.26542748173233,42.91089236456901,Cathode2,run-02,ses-2,sub-014
sub-014_ses-2_run-02_Cathode3,-58.7961480995873,-74.77368643437512,56.516222136095166,Cathode3,run-02,ses-2,sub-014
sub-014_ses-3_run-01_Anode,-75.53399786073714,-54.47715285711456,33.91822899784893,Anode,run-01,ses-3,sub-014
sub-014_ses-3_run-01_Cathode1,-73.07313591090497,-69.40877429570537,-4.009035545401275,Cathode1,run-01,ses-3,sub-014
sub-014_ses-3_run-01_Cathode2,-78.27067245659418,-12.86457319650799,33.62433157861233,Cathode2,run-01,ses-3,sub-014
sub-014_ses-3_run-01_Cathode3,-59.76618979778141,-70.482187941554,60.37204816285521,Cathode3,run-01,ses-3,sub-014
sub-014_ses-3_run-02_Anode,-75.54928731638938,-54.530551302363165,34.81929667200893,Anode,run-02,ses-3,sub-014
sub-014_ses-3_run-02_Cathode1,-73.05784645525273,-69.35537585045677,-4.910103219561279,Cathode1,run-02,ses-3,sub-014
sub-014_ses-3_run-02_Cathode2,-78.28596191224642,-12.917971641756594,34.52539925277233,Cathode2,run-02,ses-3,sub-014
sub-014_ses-3_run-02_Cathode3,-59.76438685145695,-71.38338495779317,60.318672691471875,Cathode3,run-02,ses-3,sub-014
sub-060_ses-2_run-01_Anode,57.00987350940704,23.636294532567263,60.21292615681887,Anode,run-01,ses-2,sub-060
sub-060_ses-2_run-01_Cathode1,49.84625937603414,-10.453405182808638,78.2629918679595,Cathode1,run-01,ses-2,sub-060
sub-060_ses-2_run-01_Cathode2,33.130723582580686,50.303993108682334,69.29878347925842,Cathode2,run-01,ses-2,sub-060
sub-060_ses-2_run-01_Cathode3,70.76167057827115,26.438856292515993,25.75620696693659,Cathode3,run-01,ses-2,sub-060
sub-060_ses-2_run-02_Anode,57.03393272124231,22.582321766763926,61.934438072144985,Anode,run-02,ses-2,sub-060
