Unnamed: 0,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
17136.0,sub-038,ses-4,run-02,P7,Cathode1,Kira,half-automated,Z,73.01,
4252.0,sub-038,ses-4,run-02,P7,Cathode2,Kira,half-automated,X,62.41,
10696.0,sub-038,ses-4,run-02,P7,Cathode2,Kira,half-automated,Y,43.29,
17140.0,sub-038,ses-4,run-02,P7,Cathode2,Kira,half-automated,Z,20.39,
4256.0,sub-038,ses-4,run-02,P7,Cathode3,Kira,half-automated,X,16.29,2024-01-18
10700.0,sub-038,ses-4,run-02,P7,Cathode3,Kira,half-automated,Y,70.66,2024-01-18
17144.0,sub-038,ses-4,run-02,P7,Cathode3,Kira,half-automated,Z,48.79,2024-01-18
4245.0,sub-038,ses-4,run-02,P7,Anode,Kira,manually,X,50.0,2024-01-18
10689.0,sub-038,ses-4,run-02,P7,Anode,Kira,manually,Y,53.0,2024-01-18
17133.0,sub-038,ses-4,run-02,P7,Anode,Kira,manually,Z,57.0,2024-01-18
4249.0,sub-038,ses-4,run-02,P7,Cathode1,Kira,manually,X,43.0,
10693.0,sub-038,ses-4,run-02,P7,Cathode1,Kira,manually,Y,21.0,
17137.0,sub-038,ses-4,run-02,P7,Cathode1,Kira,manually,Z,79.0,
4253.0,sub-038,ses-4,run-02,P7,Cathode2,Kira,manually,X,70.0,
10697.0,sub-038,ses-4,run-02,P7,Cathode2,Kira,manually,Y,48.0,
17141.0,sub-038,ses-4,run-02,P7,Cathode2,Kira,manually,Z,24.0,
4257.0,sub-038,ses-4,run-02,P7,Cathode3,Kira,manually,X,25.0,
10701.0,sub-038,ses-4,run-02,P7,Cathode3,Kira,manually,Y,78.0,
17145.0,sub-038,ses-4,run-02,P7,Cathode3,Kira,manually,Z,53.0,
4548.0,sub-043,ses-0,baseline,P7,Anode,Kira,half-automated,X,56.29,2023-07-30
10992.0,sub-043,ses-0,baseline,P7,Anode,Kira,half-automated,Y,17.12,2023-07-30
17436.0,sub-043,ses-0,baseline,P7,Anode,Kira,half-automated,Z,57.57,2023-07-30
4552.0,sub-043,ses-0,baseline,P7,Cathode1,Kira,half-automated,X,44.4,2023-07-30
10996.0,sub-043,ses-0,baseline,P7,Cathode1,Kira,half-automated,Y,-15.55,2023-07-30
17440.0,sub-043,ses-0,baseline,P7,Cathode1,Kira,half-automated,Z,76.78,2023-07-30
4556.0,sub-043,ses-0,baseline,P7,Cathode2,Kira,half-automated,X,72.13,2023-07-30
11000.0,sub-043,ses-0,baseline,P7,Cathode2,Kira,half-automated,Y,10.87,2023-07-30
17444.0,sub-043,ses-0,baseline,P7,Cathode2,Kira,half-automated,Z,22.03,2023-07-30
4560.0,sub-043,ses-0,baseline,P7,Cathode3,Kira,half-automated,X,33.44,2023-07-30
11004.0,sub-043,ses-0,baseline,P7,Cathode3,Kira,half-automated,Y,49.49,2023-07-30
17448.0,sub-043,ses-0,baseline,P7,Cathode3,Kira,half-automated,Z,60.97,2023-07-30
4549.0,sub-043,ses-0,baseline,P7,Anode,Kira,manually,X,56.29,2023-07-30
10993.0,sub-043,ses-0,baseline,P7,Anode,Kira,manually,Y,17.12,2023-07-30
17437.0,sub-043,ses-0,baseline,P7,Anode,Kira,manually,Z,57.57,2023-07-30
4553.0,sub-043,ses-0,baseline,P7,Cathode1,Kira,manually,X,44.4,2023-07-30
10997.0,sub-043,ses-0,baseline,P7,Cathode1,Kira,manually,Y,-15.55,2023-07-30
17441.0,sub-043,ses-0,baseline,P7,Cathode1,Kira,manually,Z,76.78,2023-07-30
4557.0,sub-043,ses-0,baseline,P7,Cathode2,Kira,manually,X,72.13,2023-07-30
11001.0,sub-043,ses-0,baseline,P7,Cathode2,Kira,manually,Y,10.87,2023-07-30
17445.0,sub-043,ses-0,baseline,P7,Cathode2,Kira,manually,Z,22.03,2023-07-30
4561.0,sub-043,ses-0,baseline,P7,Cathode3,Kira,manually,X,33.44,2023-07-30
11005.0,sub-043,ses-0,baseline,P7,Cathode3,Kira,manually,Y,49.49,2023-07-30
17449.0,sub-043,ses-0,baseline,P7,Cathode3,Kira,manually,Z,60.97,2023-07-30
4564.0,sub-043,ses-1,run-01,P7,Anode,Kira,half-automated,X,59.79,2023-08-02
11008.0,sub-043,ses-1,run-01,P7,Anode,Kira,half-automated,Y,16.85,2023-08-02
17452.0,sub-043,ses-1,run-01,P7,Anode,Kira,half-automated,Z,51.05,2023-08-02
4568.0,sub-043,ses-1,run-01,P7,Cathode1,Kira,half-automated,X,53.19,
11012.0,sub-043,ses-1,run-01,P7,Cathode1,Kira,half-automated,Y,-12.77,
17456.0,sub-043,ses-1,run-01,P7,Cathode1,Kira,half-automated,Z,67.95,
4572.0,sub-043,ses-1,run-01,P7,Cathode2,Kira,half-automated,X,70.27,
11016.0,sub-043,ses-1,run-01,P7,Cathode2,Kira,half-automated,Y,14.72,
17460.0,sub-043,ses-1,run-01,P7,Cathode2,Kira,half-automated,Z,22.11,
4576.0,sub-043,ses-1,run-01,P7,Cathode3,Kira,half-automated,X,41.53,2023-08-02
11020.0,sub-043,ses-1,run-01,P7,Cathode3,Kira,half-automated,Y,42.08,2023-08-02
17464.0,sub-043,ses-1,run-01,P7,Cathode3,Kira,half-automated,Z,57.57,2023-08-02
4565.0,sub-043,ses-1,run-01,P7,Anode,Kira,manually,X,62.0,2023-08-02
11009.0,sub-043,ses-1,run-01,P7,Anode,Kira,manually,Y,17.0,2023-08-02
17453.0,sub-043,ses-1,run-01,P7,Anode,Kira,manually,Z,50.0,2023-08-02
4569.0,sub-043,ses-1,run-01,P7,Cathode1,Kira,manually,X,54.0,
11013.0,sub-043,ses-1,run-01,P7,Cathode1,Kira,manually,Y,-15.0,
17457.0,sub-043,ses-1,run-01,P7,Cathode1,Kira,manually,Z,69.0,
4573.0,sub-043,ses-1,run-01,P7,Cathode2,Kira,manually,X,72.0,
11017.0,sub-043,ses-1,run-01,P7,Cathode2,Kira,manually,Y,13.0,
17461.0,sub-043,ses-1,run-01,P7,Cathode2,Kira,manually,Z,21.0,
4577.0,sub-043,ses-1,run-01,P7,Cathode3,Kira,manually,X,43.0,
11021.0,sub-043,ses-1,run-01,P7,Cathode3,Kira,manually,Y,43.0,
17465.0,sub-043,ses-1,run-01,P7,Cathode3,Kira,manually,Z,60.0,
4580.0,sub-043,ses-1,run-02,P7,Anode,Kira,half-automated,X,59.81,2023-08-02
11024.0,sub-043,ses-1,run-02,P7,Anode,Kira,half-automated,Y,15.81,2023-08-02
17468.0,sub-043,ses-1,run-02,P7,Anode,Kira,half-automated,Z,51.78,2023-08-02
4584.0,sub-043,ses-1,run-02,P7,Cathode1,Kira,half-automated,X,54.07,
11028.0,sub-043,ses-1,run-02,P7,Cathode1,Kira,half-automated,Y,-12.61,
17472.0,sub-043,ses-1,run-02,P7,Cathode1,Kira,half-automated,Z,67.05,
4588.0,sub-043,ses-1,run-02,P7,Cathode2,Kira,half-automated,X,70.29,
11032.0,sub-043,ses-1,run-02,P7,Cathode2,Kira,half-automated,Y,13.67,
17476.0,sub-043,ses-1,run-02,P7,Cathode2,Kira,half-automated,Z,22.84,
4592.0,sub-043,ses-1,run-02,P7,Cathode3,Kira,half-automated,X,40.66,2023-08-02
11036.0,sub-043,ses-1,run-02,P7,Cathode3,Kira,half-automated,Y,40.87,2023-08-02
17480.0,sub-043,ses-1,run-02,P7,Cathode3,Kira,half-automated,Z,59.2,2023-08-02
4581.0,sub-043,ses-1,run-02,P7,Anode,Kira,manually,X,67.0,2023-08-02
11025.0,sub-043,ses-1,run-02,P7,Anode,Kira,manually,Y,17.0,2023-08-02
17469.0,sub-043,ses-1,run-02,P7,Anode,Kira,manually,Z,56.0,2023-08-02
4585.0,sub-043,ses-1,run-02,P7,Cathode1,Kira,manually,X,54.0,
