,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
174,sub-002,ses-2,run-01,P1,Cathode3,Sophie,half-automated,X,-37.68,2023-08-24
175,sub-002,ses-2,run-01,P1,Cathode3,Sophie,manually,X,-47.0,
176,sub-002,ses-2,run-02,P1,Anode,Kira,half-automated,X,-60.57,2023-08-24
177,sub-002,ses-2,run-02,P1,Anode,Kira,manually,X,-68.0,2023-08-24
178,sub-002,ses-2,run-02,P1,Anode,Sophie,half-automated,X,-60.41,2023-08-24
179,sub-002,ses-2,run-02,P1,Anode,Sophie,manually,X,-67.0,2023-08-24
180,sub-002,ses-2,run-02,P1,Cathode1,Kira,half-automated,X,-54.95,
181,sub-002,ses-2,run-02,P1,Cathode1,Kira,manually,X,-64.0,
182,sub-002,ses-2,run-02,P1,Cathode1,Sophie,half-automated,X,-54.95,
183,sub-002,ses-2,run-02,P1,Cathode1,Sophie,manually,X,-63.0,
184,sub-002,ses-2,run-02,P1,Cathode2,Kira,half-automated,X,-67.8,2023-08-24
185,sub-002,ses-2,run-02,P1,Cathode2,Kira,manually,X,-75.0,
186,sub-002,ses-2,run-02,P1,Cathode2,Sophie,half-automated,X,-67.8,
187,sub-002,ses-2,run-02,P1,Cathode2,Sophie,manually,X,-76.0,
188,sub-002,ses-2,run-02,P1,Cathode3,Kira,half-automated,X,-35.91,
189,sub-002,ses-2,run-02,P1,Cathode3,Kira,manually,X,-42.0,
190,sub-002,ses-2,run-02,P1,Cathode3,Sophie,half-automated,X,-37.69,2023-08-24
191,sub-002,ses-2,run-02,P1,Cathode3,Sophie,manually,X,-47.0,
192,sub-002,ses-3,run-01,P1,Anode,Kira,half-automated,X,-59.38,2023-11-29
193,sub-002,ses-3,run-01,P1,Anode,Kira,manually,X,-69.0,2023-11-29
194,sub-002,ses-3,run-01,P1,Anode,Sophie,half-automated,X,-59.38,2023-11-29
195,sub-002,ses-3,run-01,P1,Anode,Sophie,manually,X,-68.0,2023-11-29
196,sub-002,ses-3,run-01,P1,Cathode1,Kira,half-automated,X,-54.95,
197,sub-002,ses-3,run-01,P1,Cathode1,Kira,manually,X,-61.0,
198,sub-002,ses-3,run-01,P1,Cathode1,Sophie,half-automated,X,-55.86,
199,sub-002,ses-3,run-01,P1,Cathode1,Sophie,manually,X,-65.0,
200,sub-002,ses-3,run-01,P1,Cathode2,Kira,half-automated,X,-66.55,2023-11-29
201,sub-002,ses-3,run-01,P1,Cathode2,Kira,manually,X,-87.0,
202,sub-002,ses-3,run-01,P1,Cathode2,Sophie,half-automated,X,-66.63,
203,sub-002,ses-3,run-01,P1,Cathode2,Sophie,manually,X,-75.0,
204,sub-002,ses-3,run-01,P1,Cathode3,Kira,half-automated,X,-34.69,
205,sub-002,ses-3,run-01,P1,Cathode3,Kira,manually,X,-43.0,
