"Subject","Session","run","Experiment","Electrode","Rater","Method","X","Y","Z","Euclidean_Norm"
"sub-004","ses-3","run-02","P3","Cathode3","Network","full-automated",78.18771065,-54.88897187,-9.25263848,95.9777507992105
"sub-004","ses-4","run-01","P3","Anode","Kira","manually",85,-55,-6,101.419919148065
"sub-004","ses-4","run-01","P3","Anode","Network","full-automated",77.91781868,-53.81947999,-3.38479555,94.758533838165
"sub-004","ses-4","run-01","P3","Cathode1","Kira","manually",79,-77,13,111.081051489442
"sub-004","ses-4","run-01","P3","Cathode1","Network","full-automated",71.13133189,-73.59791113,15.47728745,103.51746386941
"sub-004","ses-4","run-01","P3","Cathode2","Kira","manually",81,-61,-33,106.634891100427
"sub-004","ses-4","run-01","P3","Cathode2","Network","full-automated",74.21903984,-59.39691315,-32.71602437,100.532568937129
"sub-004","ses-4","run-01","P3","Cathode3","Kira","manually",84,-29,6,89.0673902166219
"sub-004","ses-4","run-01","P3","Cathode3","Network","full-automated",78.8976036,-26.96195099,5.67276863,83.5700841147082
"sub-004","ses-4","run-02","P3","Anode","Kira","manually",85,-57,-5,102.464628043047
"sub-004","ses-4","run-02","P3","Anode","Network","full-automated",77.58327391,-54.24759224,-3.28791516,94.7247382711124
"sub-004","ses-4","run-02","P3","Cathode1","Kira","manually",79,-78,15,112.02678251204
"sub-004","ses-4","run-02","P3","Cathode1","Network","full-automated",71.23537675,-74.36506859,15.4578601,104.132549022777
"sub-004","ses-4","run-02","P3","Cathode2","Kira","manually",81,-61,-33,106.634891100427
"sub-004","ses-4","run-02","P3","Cathode2","Network","full-automated",71.23537675,-74.36506859,15.4578601,104.132549022777
"sub-004","ses-4","run-02","P3","Cathode3","Kira","manually",84,-30,6,89.397986554508
"sub-004","ses-4","run-02","P3","Cathode3","Network","full-automated",78.17505978,-27.28008175,6.02231268,83.0169325012009
"sub-005","ses-1","run-01","P7","Anode","Kira","manually",59,12,60,85
"sub-005","ses-1","run-01","P7","Anode","Network","full-automated",58.4035069,13.02306302,61.17739075,85.5759483010234
"sub-005","ses-1","run-01","P7","Cathode1","Kira","manually",53,-34,76,98.6965044973732
"sub-005","ses-1","run-01","P7","Cathode1","Network","full-automated",52.27885884,-33.39755416,76.41854155,98.4290058779009
"sub-005","ses-1","run-01","P7","Cathode2","Kira","manually",71,19,15,75.0133321483588
"sub-005","ses-1","run-01","P7","Cathode2","Network","full-automated",58.4035069,13.02306302,61.17739075,85.5759483010234
"sub-005","ses-1","run-01","P7","Cathode3","Kira","manually",26,36,74,86.3017960415657
"sub-005","ses-1","run-01","P7","Cathode3","Network","full-automated",23.83011249,40.30975329,73.27157694,86.9567390077449
"sub-005","ses-1","run-02","P7","Anode","Kira","manually",64,14,64,91.5860251348425
"sub-005","ses-1","run-02","P7","Anode","Network","full-automated",57.84167417,13.0541423,60.947871,85.0335985443973
"sub-005","ses-1","run-02","P7","Cathode1","Kira","manually",52,-36,76,98.8736567544662
"sub-005","ses-1","run-02","P7","Cathode1","Network","full-automated",51.47685314,-33.36089569,76.5649103,98.1070907716829
"sub-005","ses-1","run-02","P7","Cathode2","Kira","manually",70,19,15,74.0675367485648
"sub-005","ses-1","run-02","P7","Cathode2","Network","full-automated",57.84167417,13.0541423,60.947871,85.0335985443973
"sub-005","ses-1","run-02","P7","Cathode3","Kira","manually",26,39,72,85.9127464349732
"sub-005","ses-1","run-02","P7","Cathode3","Network","full-automated",22.9350219,40.1416683,72.78033275,86.2226513084667
"sub-005","ses-2","run-01","P7","Anode","Kira","manually",55,15,65,86.4580823289529
"sub-005","ses-2","run-01","P7","Anode","Network","full-automated",54.08004681,14.75404741,65.84951323,86.4782734019144
"sub-005","ses-2","run-01","P7","Cathode1","Kira","manually",46,-18,83,96.5867485734974
"sub-005","ses-2","run-01","P7","Cathode1","Network","full-automated",44.13341194,-16.22448105,83.95307231,96.2242702497433
"sub-005","ses-2","run-01","P7","Cathode2","Kira","manually",75,12,32,82.4196578493262
"sub-005","ses-2","run-01","P7","Cathode2","Network","full-automated",54.08004681,14.75404741,65.84951323,86.4782734019144
"sub-005","ses-2","run-01","P7","Cathode3","Kira","manually",30,42,69,86.1684396980704
"sub-005","ses-2","run-01","P7","Cathode3","Network","full-automated",28.82017938,43.01780993,68.27015769,85.6851745734725
"sub-005","ses-2","run-02","P7","Anode","Kira","manually",57,14,66,88.3232698670062
"sub-005","ses-2","run-02","P7","Anode","Network","full-automated",54.47438488,14.02994966,66.66340771,87.2256156356961
"sub-005","ses-2","run-02","P7","Cathode1","Kira","manually",46,-18,85,98.3107318658548
